nom,position,minute,points,rebonds,passes_dec,steal,contres,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,ball_perdu,faute_p,plus_moins,dnp,blesse,score_ttfl
Brandon Ingram,F,0 days 00:36:27,17.0,8.0,8.0,1.0,1.0,3.0,11.0,27.3,3.0,10.0,30.0,8.0,9.0,88.9,3.0,5.0,4.0,0.0,-7.0,False,False,45.0
Zion Williamson,F,0 days 00:34:42,26.0,8.0,3.0,0.0,0.0,12.0,22.0,54.5,0.0,0.0,0.0,2.0,4.0,50.0,6.0,2.0,3.0,1.0,-4.0,False,False,40.0
Steven Adams,C,0 days 00:35:48,13.0,7.0,2.0,1.0,2.0,5.0,7.0,71.4,0.0,0.0,0.0,3.0,6.0,50.0,1.0,6.0,4.0,3.0,-4.0,False,False,30.0
Eric Bledsoe,G,0 days 00:33:13,8.0,1.0,6.0,2.0,0.0,3.0,8.0,37.5,2.0,6.0,33.3,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,False,False,19.0
Lonzo Ball,G,0 days 00:36:29,5.0,2.0,3.0,1.0,1.0,2.0,8.0,25.0,1.0,7.0,14.3,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-7.0,False,False,13.0
Josh Hart,,0 days 00:27:42,19.0,8.0,2.0,1.0,0.0,6.0,8.0,75.0,4.0,5.0,80.0,3.0,4.0,75.0,0.0,8.0,1.0,4.0,-11.0,False,False,42.0
JJ Redick,,0 days 00:19:06,17.0,1.0,1.0,0.0,0.0,5.0,8.0,62.5,4.0,7.0,57.1,3.0,3.0,100.0,0.0,1.0,1.0,1.0,-1.0,False,False,30.0
Nicolo Melli,,0 days 00:02:36,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,False,False,1.0
Nickeil Alexander-Walker,,0 days 00:15:36,5.0,1.0,2.0,0.0,0.0,2.0,5.0,40.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,2.0,3.0,-6.0,False,False,8.0
Jaxson Hayes,,0 days 00:03:17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,False,False,1.0
Wenyen Gabriel,,,,,,,,,,,,,,,,,,,,,,True,False,
Willy Hernangomez,,,,,,,,,,,,,,,,,,,,,,True,False,
Kira Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,True,False,
Naji Marshall,,,,,,,,,,,,,,,,,,,,,,True,False,
Sindarius Thornwell,,,,,,,,,,,,,,,,,,,,,,True,False,
