nom,minute,tir_reussi,tir_tentes,pct_tir,trois_pt_r,trois_pt_t,pct_3_pt,lanc_frc_r,lanc_frc_t,pct_lfrc,rebonds_o,rebonds_d,rebonds,passes_dec,steal,contres,ball_perdu,faute_p,points,plus_moins,dnp,blesse,nom_simple,score_ttfl
James Ennis III,0 days 00:19:55,2.0,7.0,28.6,0.0,0.0,0.0,2.0,2.0,100.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,6.0,-7.0,False,False,jamesennisiii,10.0
Gary Clark,0 days 00:30:49,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,-19.0,False,False,garyclark,3.0
Nikola Vucevic,0 days 00:29:37,8.0,19.0,42.1,3.0,7.0,42.9,3.0,3.0,100.0,3.0,9.0,12.0,3.0,1.0,0.0,0.0,0.0,22.0,-18.0,False,False,nikolavucevic,45.0
Dwayne Bacon,0 days 00:27:54,4.0,10.0,40.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,10.0,-21.0,False,False,dwaynebacon,13.0
Cole Anthony,0 days 00:28:06,6.0,14.0,42.9,0.0,3.0,0.0,3.0,4.0,75.0,1.0,1.0,2.0,3.0,2.0,0.0,4.0,1.0,15.0,-27.0,False,False,coleanthony,23.0
Khem Birch,0 days 00:22:58,4.0,7.0,57.1,1.0,1.0,100.0,2.0,2.0,100.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,11.0,-34.0,False,False,khembirch,22.0
Terrence Ross,0 days 00:18:22,2.0,9.0,22.2,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,5.0,-31.0,False,False,terrenceross,5.0
Jordan Bone,0 days 00:27:31,3.0,8.0,37.5,1.0,5.0,20.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,-24.0,False,False,jordanbone,16.0
Karim Mane,0 days 00:21:20,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,5.0,5.0,1.0,0.0,1.0,2.0,0.0,2.0,-20.0,False,False,karimmane,7.0
Mo Bamba,0 days 00:13:28,5.0,9.0,55.6,2.0,4.0,50.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,12.0,-9.0,False,False,mobamba,24.0
Evan Fournier,,,,,,,,,,,,,,,,,,,,,True,True,evanfournier,
Aaron Gordon,,,,,,,,,,,,,,,,,,,,,True,True,aarongordon,
